Feature,Coefficient
chillin,-0.03720300284312643
china,-0.023621509399889887
chinese,-0.053951813452581
chip,-0.008900705220158258
chocolate,-0.061126391379914054
choice,0.0647000668328485
choose,0.6392566273193332
chosen,0.12536549040481934
christ,-0.02670188297571392
christmas,-0.172314656856738
church,-0.06512105839272873
cine,-0.026138432240051687
cinema,0.3282722727760252
citizen,-0.29186704233491206
city,0.10887159951986605
claim,2.9544533167684204
claire,0.2731887898809775
class,-0.4117853777865539
cld,-0.01167038487538463
clean,-0.1527407351903397
cleaning,-0.04031051298415654
clear,-0.08523124037868691
cleared,-0.10756696141471957
clearing,-0.07345336287705109
clearly,-0.017532264776577582
clever,-0.024801690529301007
click,0.27401546628063617
cliff,-0.022984412432049964
clock,-0.09408025002194954
clos,-0.16391280064584704
close,-0.029248879974887402
closed,-0.04031857998391455
closedincluding,-0.26854419078401914
closer,-0.03531330207001387
clothes,-0.03770641203923378
club,0.9494726163766912
cm,0.040942271499715015
cme,-0.006201256110368484
cn,-0.06769962655291616
cnn,-0.05113165289099321
co,-0.4039430614024609
coast,-0.02633806959303506
coat,-0.017604415390857494
cochin,-0.2383015988536656
cock,-0.044031023085304155
code,0.823931948040847
coffee,-0.11066143594021938
coin,-0.09723442306327332
cold,-0.04098723525125398
colleague,-0.015287296915369715
collect,0.9465811493151747
collected,0.17164894107702106
collecting,-0.06649220004852283
collection,0.7151704783300514
college,-0.31414504212642547
color,-0.011998560322912539
colour,0.28314295383624033
combine,-0.011744190078711305
come,-0.6168663542445548
comedy,-0.05938113306023216
comfort,-0.031371143586743255
comin,-0.11796395823981627
coming,-0.4140781271500524
commercial,-0.034855272151557294
common,-0.028495863699076234
community,0.2563253465952355
comp,0.301247287584231
company,0.32298079567513766
compare,0.24641193503962378
competition,0.03273551735165168
complaint,-0.10493097080751901
complete,0.17861356341525766
completed,-0.040824884069325426
completely,-0.24273700764316164
complimentary,0.20686140361273017
compromised,-0.16631782052896596
computer,0.17658025270579242
comuk,0.06280580008284534
concentrate,-0.06066137852476363
concert,-0.06232108731003709
condition,0.2516738347646576
conduct,-0.045183759832773944
confidence,-0.17284994177953023
confirm,-0.09692651786312902
confirmd,-0.05113165289099321
confirmed,-0.03383924653685636
conform,-0.11341807894123013
confused,-0.004966442892468989
confuses,-0.02575323271390866
congrats,0.43141581618637986
congratulation,0.3577416387745303
connect,0.04173864025153815
connection,0.07206783515184909
consider,-0.1029542886019131
considering,-0.07963533857864558
console,0.21512120670596085
constant,-0.010870819239078807
constantly,-0.052139422258312494
contact,1.137687697797852
contacted,0.3104749343264347
content,0.9969318424175289
continue,-0.02346160725830044
contract,0.014175296096126956
control,-0.046908555159838834
convey,-0.09348792112249156
convinced,-0.22148447807923796
cook,-0.14320591321346274
cooked,-0.01781340517471488
cooking,-0.1472614825877556
cooky,-0.05866356366994205
cool,-0.37061361150314875
coping,-0.09789349185904504
copy,-0.3512831188585576
cornwall,0.09659108595514579
correct,0.32981638006200886
cost,1.6832349798291872
costa,0.1973883948332666
costing,0.07370062532524285
costume,-0.03432311908678762
could,-0.30190405828137884
couldnt,-0.04166561407937465
count,-0.15120443829868072
countin,-0.03874425657148932
country,0.3165478226192857
couple,0.12027164015937185
courage,-0.024454662406124338
course,-0.13734135891026056
cousin,-0.018084792354605733
cover,-0.1475261092314205
coz,-0.3325250038314286
cr,0.3237228281662351
crab,-0.14138206616623605
crack,-0.07211069778478287
cramp,-0.04865630281202427
crap,-0.03791416657849556
crash,-0.027848074054601782
crave,-0.014840850451281588
craziest,-0.15438784295345043
crazy,0.12968823687913955
crbt,0.08061125885185969
cream,-0.04906308105338185
created,0.31551122592357916
credit,1.1572872478362952
credited,-0.0435498760826549
creep,-0.03733609739993374
creepy,-0.044456244773172615
cricketer,-0.057480421586670154
crore,-0.24743680377240798
cross,0.08958448058421015
croydon,0.3497499459991723
cruise,0.035805239179051956
cry,-0.13570786368461984
csh,0.0722143900079093
cud,-0.0012750228926179197
cuddle,-0.013949113610456143
cuddling,-0.024552103369312996
cum,0.029641811191649256
cup,-0.02552927206210197
curious,-0.008274960062061226
current,0.1317017317426308
currently,0.45631333933545987
curry,-0.1440630366586829
cust,0.4493842038100963
custcare,0.4279175944185521
custom,-0.06638477931354135
customer,1.0034420821673902
cut,-0.06354882816570863
cute,-0.012710705682546933
cutefrnd,-0.16391280064584704
cutting,-0.005924271370700418
cuz,-0.050528960689926114
cwwx,0.08373690946226454
da,-0.5520308463800973
dad,-0.2279496555078313
daddy,-0.0638338788595433
dahow,-0.017418990894876436
dai,-0.10660477541440765
daily,0.3922902588019836
damn,-0.0985010902775404
dan,-0.005925493177571454
dance,-0.03443056300963774
dancing,-0.026541156067367025
dare,-0.0345238280336514
dark,0.33177139537971256
darlin,-0.24196222732530584
darling,0.27434925917986847
darren,-0.05091523722085231
dat,-0.2089743842539558
date,0.9818428933886725
dateboxessexcmxn,0.096710274178187
dating,1.0853190264135983
datoday,-0.02163945763914971
datz,-0.05566045205948622
dave,0.03875441545621821
day,0.14438505601125304
dayfind,0.14663975806990182
dayu,-0.16391280064584704
de,-0.13759263496894278
dead,-0.09287380827580999
deal,-0.025502162228339526
dear,-0.4098627287146127
dearer,-0.004941985311306113
dearly,-0.03776422171141549
death,-0.0321582796538381
december,0.025549681461840494
decide,-0.07921905575479818
decided,-0.18833798442306432
decision,-0.1365629957663471
deep,-0.09921217382036387
def,-0.1025877079000645
definitely,0.09848837858838942
del,0.2767541987186796
deleted,-0.1661653044446177
deliver,-0.09785773980735628
delivered,0.23292790764822882
deliveredtomorrow,0.027514935930901405
delivery,0.7926033420839768
dem,-0.004808126402683901
den,-0.14184571593695827
depends,-0.047475607778903035
derek,-0.10996576694074806
detail,-0.20469895107393868
dey,-0.12474733825706706
di,-0.013203720190891876
diamond,-0.2611207303761326
dick,0.03206184291084892
dictionary,-0.11091763897053489
didn,-0.13444923400986483
didnt,-0.7313054435710497
didt,-0.07792301787300329
die,-0.04397953327172048
died,0.17861369865379279
diet,-0.01389232864310908
diff,0.0
difference,-0.06410648357906334
different,-0.2012284059825048
difficult,-0.16254835760225184
dificult,-0.02410227685296258
digital,0.5151427384308728
dignity,-0.04218650193562006
din,-0.042846142435827544
dinner,-0.23730123065258413
dint,-0.04583273150377294
direct,0.6589377196090912
directly,-0.1320025316992222
dirty,0.004634525026768611
dis,-0.24195645574384056
discount,0.2560124682966612
discus,-0.13751003635115422
dislike,-0.02757181603661268
display,-0.021756897200036457
distance,-0.045040304913325634
disturb,-0.04215115095466843
dload,0.22717569326253265
dnt,-0.11108313252872419
doc,-0.10401468907812088
doctor,-0.2634768321947588
doesnt,-0.4335209548121549
dog,0.03024316294162034
dogging,0.516329131725959
doggy,-0.05169098803100693
doin,-0.20770736093857017
dollar,-0.14558647152729942
don,-0.09383330648892484
done,-0.22976348926230444
dont,-0.7677828581288134
door,0.030821818364534202
dot,0.22295453438913962
double,0.12392611445433621
download,-0.2913811116269902
downloads,0.25362591830535447
dr,-0.02770104505819344
dracula,0.0
draw,1.1352990324302787
dream,0.17624854442733118
dreamsmuah,-0.026361515214014117
dress,-0.046780134126937586
dressed,-0.007268461153833921
dresser,-0.02103972015832798
drink,-0.12877997727996085
drinking,-0.07378406950861115
drive,-0.27702649979935556
drivin,-0.01967482969184629
driving,0.27289137909099853
drop,-0.1327948756514682
dropped,-0.07606342649915492
drug,-0.17971820384627207
drunk,-0.011339725515976654
drunken,-0.025762730494879045
dry,-0.037602661515252225
dsnt,-0.0447458003242941
dubsack,-0.05503552589254297
dude,-0.22192948680872354
due,0.17369232348517485
dun,-0.17588759954078492
dunno,-0.11064646537633994
dvd,0.5397401574312034
ear,-0.10859353984552954
earlier,-0.2228085117074797
early,-0.24443788236682498
earth,-0.05672385917188874
easier,-0.06075249881223439
easy,0.5154451658500262
eat,-0.22020344756406915
eaten,-0.018459212133088935
eatin,-0.04539263278422346
eating,-0.0767013700627509
eca,0.2545389222797489
eerie,0.1309083667566167
effect,-0.04450419829723197
eg,1.1846826059041002
egg,0.10366215390949919
