imdbID,Title,imdbRating,tags
tt7117870,Love Action Drama,5.2,comedy romance dhyansreenivasan dhyansreenivasan nivinpauly nayanthara ajuvarghese a man goes through all kinds of action to impress the girl he is in love with a hope to marry her.
tt0368688,Direct Action,5.0,"action crime thriller sidneyj.furie gregmellott sidneyj.furie dolphlundgren pollyshannon donaldburda frank gannon, a veteran cop, is being hunted by his fellow police officers after they learned he has betrayed the brotherhood and exposed to the feds wide scale corruption of the lapd. he has one day left to prove his case and survive."
tt26673530,The Action Pack,4.9,"action comedy crime validobrogeanu validobrogeanu mateidima vladbrumaru antoniaiacobescu a traffic officer who likes playing detective starts investigating a case, uncovering dangers beyond what he thought was a simple bookie robbery."
tt0206467,Action,8.3,"comedy  christhompson jaymohr illeanadouglas jarradpaul in hollywood you're only as good as your last flick, and dragonfire films exec peter dragon has hit bottom with his $150 million bomb ""slow torture."" his only hope to get back to the way things were is the shoot-'em-up film ""beverly hills gun club,"" and the only person that will help him is ex-child star turned hooker wendy ward."
tt0076543,A Piece of the Action,6.4,"crime comedy sidneypoitier charlesblackwell timothymarch sidneypoitier billcosby jamesearljones dave anderson and manny durrell are two high-class sneak thieves who have never been caught. joshua burke is a retired detective who has enough evidence on the both of them to put them behind bars. instead, he offers to maintain his silence if the crooks will go straight and do work at a youth center for delinquents. at first, the crooks are reluctant and unwilling (and so are the kids). as time goes by they gain the trust and admiration of the kids and they start to enjoy the job. all goes well until someone out of the past tells them they have to do one last heist...or else."
tt8840400,In Search of the Last Action Heroes,7.2,documentary oliverharper oliverharper timonsingh scottadkins stuartashen shaneblack a comprehensive retrospective of the 80's and 90's action film genre.
tt10955578,Action,4.6,"action adventure thriller sundarc. sundarc. venkatraghavan d.suresh vishal tamannaahbhatia aishwaryalekshmi an agent, sent by the indian army to observe a terrorist, finds his mission complicated when he discovers undercover agents in his own country."
tt3565904,"Monster High: Frights, Camera, Action!",6.7,"animation williamlau sylvainblais audupaden danserafin katehiggins sallisaffioti debiderryberry when draculaura is led to believe she's the rightful heir to the vampire throne, she and her best ghoulfriends are whisked away to transylvania for a royal coronation to die for. but they soon discover the hunt for the queen is not over yet. the ghouls must locate an ancient artifact known as the vampire's heart in order to discover the identity of the true vampire queen. it's a fangtastic adventure that will lead them from the tower of londoom, to a haunted river boat in new goreleans and finally to the glamorous boo-vie lots of hauntlywood. could this be the moment when draculara finally receives her vampire powers and discovers screams really can come true?"
tt0096757,Action U.S.A.,6.0,"action thriller johnstewart jamesdesmarais davidreskin johnstewart gregoryscottcummins williamhubbardknight barrimurphy after her boyfriend is murdered by the gangsters whose diamonds he stole, a girl is protected by two fbi agents who plan to keep her from sharing the same fate."
tt17677492,The Violence Action,4.8,action comedy crime tôichirôrutô renjiasai itaruera tôichirôrutô kannahashimoto yôsukesugino fumikababa a young girl leads a double life as an assassin for hire.
tt7022500,The Accidental Detective 2: In Action,6.5,action comedy crime leeeon-hie junghan-jin kwonsang-woo sungdong-il seoyeong-hie a homicide detective and his partner recruit the help of an online private eye to solve a murder case.
tt5295990,Inception: Jump Right Into the Action,8.6,"documentary short   leonardodicaprio josephgordon-levitt christophernolan join filmmaker christopher nolan and his cast and crew as they reveal the secrets of inception, its development, characters, performances, story and jaw-dropping special effects in this solid 14-segments piece."
tt0109195,Back in Action,5.4,"action crime drama stevedimarco paulziller karlschiffman billyblanks roddypiper bobbiephillips the sister of a former u.s. green beret, is involved in a love affair with a mobster, endangering seriously her life. his brother will make his best efforts to save her from her boyfriend and his friends, fighting with or without external help. but perhaps this tough cop, rossi, could help him... or stop him..."
tt0337887,Confessions of an Action Star,3.8,"action comedy musical bradmartin davidleitch holmesosborne davidleitch kellyhu a 'mocumentary' on the rise and fall of chip and dales dancer turned martial arts action star, francis allen sledgewick, aka frank sledge. when fame and fortune caused frank to lose his sense of what's truely important, he realised he's going to have to get in touch with his roots if there's ever going to be a comeback."
tt0251515,Wild C.A.T.S: Covert Action Teams,6.7,animation action adventure   denisakiyama roscoehandford janet-lainegreen universal war wages between two prehistoric alien races. one of the races is the heroic kherubim while the other is the evil daemonites.
tt0475182,Action League Now!!,8.0,"animation comedy family  albiehecht willmcrobb bobmittenthal veronicaalicino robyncarlsson jimkrenn the show follows four superheroes, who are action figures, on stopping evil. there is the flesh, who is ""super strong and super naked,"" thundergirl, who has the ability to fly, stinky diver, who usually swims in toilets, and meltman, whose only power is to melt, making him the smallest and weakest of the team."
tt0036386,Stand by for Action,6.5,"war robertz.leonard georgebruce johnl.balderston hermanj.mankiewicz roberttaylor briandonlevy charleslaughton u. s. navy lieutenant gregg masterman (robert taylor), of the harvard and boston back bay mastermans, learned about the sea while winning silver cups sailing his yacht. he climbs swiftly in rank, and is now junior aide to rear admiral stephen thomas (charles laughton). in contrast, lieutenant commander martin j. roberts (brian donlevy) enlisted in world war i, and worked his way up gradually. he retired in 1935 but has been recalled as executive officer of the destroyer ""cranshaw."" impressed by roberts' vigor, the rear admiral raises him to command of the destroyer ""warren,"" an over-age world war i ship that has been recommissioned. masterman laughs at roberts' new command, only to have the admiral assign him as the executive officer of the ""warren,"" under roberts. the ship is to join a convoy which has already left hawaii, bound for the united states. the flagship of the convoy is the cruiser, ""chattanooga,' with admiral thomas in command. on the way, a lifeboat is sighted. from it are picked up two old sailors, two women and twenty babies. their boat had been sunk while evacuating them from hawaii. roberts puts masterman in charge of the infants. the destroyer reaches the convoy. that night, the japanese attack the convoy, the ""chattanooga"" is hit, and the enemy then turns its attention to the ""warren."""
tt0409848,Kureyon Shinchan: Action Kamen vs Haigure Maô,6.7,animation action adventure mitsuruhongô yoshitousui ryômotohira akikoyajima mikinarahashi keijifujiwara action kamen comes to shinchan's world seeking help from shinchan to defeat the haigure demon. then the adventure of shinchan and his family begins.
tt0061000,Action Man,6.4,crime drama thriller jeandelannoy j.m.flynn alphonseboudard jeandelannoy jeangabin robertstack margaretlee sophisticated crook talks ex-crook and now respectable business man into one last caper. this highly planned and well executed crime goes off without a hitch until rival bad guys want a piece of the action.
tt0036579,Action in Arabia,6.2,"crime drama romance léonidemoguy philipmacdonald herbertj.biberman georgesanders virginiabruce lenoreaubert michael gordon, star reporter with a nose for trouble, is heading home after completing a difficult assignment in iraq. on a damascus stopover he relays a tip to a fellow american newsman who subsequently ends up in a local camel market with a knife in his back. even though everyone, including the american legation, seems to want gordon to leave the country, he feels obliged to find his friend's murderer. among the red herrings he must sort through in the ""world's oldest city"" are an informing card cheat, a beautiful femme fatale, an enigmatic hotel owner, a frenchman with two aliases, and several sinister arabs. in short order, gordon foils nazi plots to unite the arab tribes against the allies and help the germans seize the suez canal."
tt2927080,Machi Action,5.9,"comedy jeffchang giddensko jeffchang ming-daishih bo-linchen ralfchiu ting-hsuanchen the washed up actor tie nan's (chen bo-lin) childhood dream is shattered when the producers of the show in which he plays a space hero replaces him with a fresher face named face (owodog zhuang). together with his best friend and co-star monster (qiu yanxiang), tie nan sets out to find new acting gigs that eventually lead him to rediscover himself, and enlightens him on what being a hero truly means."
tt0075083,Silent Action,6.4,"action crime drama sergiomartino fabiopittorru massimofelisatti sergiomartino lucmerenda melferrer deliaboccardo starting the investigation of a murder mystery, a police man is to investigate dangerously top politicians and military. a chain of suicides takes its toll among the current and past leaders of italy in a particularly difficult season for the italian democracy."
tt7656570,Legal Action,5.9,"action crime drama brentchristy sheasizemore jasonwhite ericclose nicksearcy tommyflanagan big-city lawyer casey mckay, (eric close - nashville, without a trace) is drawn to a small town by his ex-wife to defend her brother, accused of murdering a da. he discovers a web of conspiracy that puts him face-to-face with the town's most corrupt land developer, mr. gates (tommy flanagan - sons of anarchy, braveheart). as casey unravels the truth, he finds himself fighting for his former brother-in-law's life, as well as his own."
tt0179901,A Special Cop in Action,6.6,"thriller action crime marinogirolami leilabuongiorno gianfrancoclerici vincenzomannino mauriziomerli raymondpellegrin johnsaxon a crime syndicate starts a crime wave in turin, they rob a bank, taking a hostage to get away from police inspector betti and ferrari, his partner. however, the hostage turned out to be their accomplice in disguise."
tt0167145,Evasive Action,4.6,"action thriller jerryp.jacobs seanmcginly trippreed brianrudnick dorianharewood raywise royscheider when redwood federal penitentiary closes, there are going to be several hundred prisoners looking for a new home. several of the most dangerous, all killers, will be transported by train to santa ana, a new high tech prison for the worst of the worst. included in this transfer are: -ian kelly, explosions expert who has set off terrorist bombings worldwide. -lorenzo ""enzo"" martini, a mafia kingpin who enjoyed nationwide fame before finally being put away. -karl ""the killer"" miller, a serial killer with absolutely no conscience and an unquenchable thirst for blood. -tommy ""zimm"" zimmer, a man who's serving life for killing his wife and her lover. -luke sinclair, who's finishing up the last nine months of a fifteen-year sentence for killing the man who murdered his wife. when the prisoners, under heavy security, board the last car of the train, it quickly becomes clear that an escape plan has been hatched..."
tt0147743,Action Man,5.8,animation action adventure  bobforward philharnage markgriffin devonsawa scottmcneil the adventures of action man and his friends in the fight against doctor x.
tt0176948,Love and Action in Chicago,4.9,"comedy drama romance dwaynejohnson-cochran dwaynejohnson-cochran courtneyb.vance reginaking kathleenturner eddie jones (courtney b. vance) is a hitman working for the u.s. government. he eliminates people the government has a problem with or does not like. he is ""working"" a lot and saving some money for his retirement. a good, faithful catholic (despite murdering people in cold blood), he has not had sex for three years. while confessing, he tries to bargain his murders by his chastity with god. his boss is ""middleman"" (kathleen turner), who likes him and decides to arrange a date for him. she orders eddie to meet lois newton (regina king) in a restaurant, and after a lot of confusion and misunderstandings, mainly due to eddie's profession, they fall in love with each other."
tt0056691,Who's Got the Action?,5.5,"comedy danielmann alexanderrose jackrose deanmartin lanaturner eddiealbert horse-player steve flood's marriage is threatened by his betting; in desperation, his wife melanie becomes his bookie and enlists his lecherous law partner clint morgan to help. steve's hot streak causes unforeseen complications."
tt5886250,Pre Vis Action,7.0,short action garethevans garethevans hannahalrashid yayanruhian ceceparifrahman a young warrior has to prove herself in a fight against two dangerous assassins.
tt0300802,Mary-Kate and Ashley in Action!,3.9,"animation adventure comedy  michellelamoreaux robinriordan mary-kateolsen ashleyolsen yeejeetso animated television series, featuring the voices and likeness of mary-kate and ashley olsen."
tt0050099,Action of the Tiger,5.1,"action crime drama terenceyoung robertcarson jameswellard petermyers vanjohnson martinecarol herbertlom carson is an american contraband runner approached by tracy, a french woman who wants him to help rescue her brother from albania where he is being held as a political prisoner."
tt0078732,Action,4.4,"drama tintobrass tintobrass giancarlofusco robertolerici lucmerenda adrianaasti susannajavicoli bruno is an idealistic hero who questions the meaning of life in this confusing and sometimes hallucinatory erotic drama. after a night in jail, he is gang-raped by punk rockers in a garbage dump. he later saves an old man who believes he is garibaldi and a woman he believes is ophelia. bruno watches helplessly as she later jumps from a window."
tt8096690,Action Team,4.7,"comedy   tomdavis vickymcclure jimhowick action team is a spoof comedy action thriller series following the exploits of a special branch of mi6. the team is made up of four secret agents; the heroic logan mann, mix martial arts and bomb expert monica lang, crack sniper graham hooper and huxley, who's just on work experience. they are overseen by the straight shooting head of operations ruth brooks and her assistant called anne."
tt0250133,Action Man,6.3,"animation action sport   michaeldobson markhildreth peterkelamis alex mann is a top competitor for the acceleration games, a worldwide extreme sports competition tour. during a deadly accident, he discovers his special ability called the amp factor, which is the ability, in extremely dangerous situations, to suddenly be able to examine his surroundings and computate mathematically the best possible action. this makes him capable of performing complex and daring stunts to save the day that are normally impossible. this discovery vastly complicates his and his support team's lives as they find themselves facing villians like dr. x, who want to exploit alex's power to his own end."
tt14045038,Love J Action,6.9,"action  saurabhtewari anudsinghdhaka kanganbaruahnangia puruchibber love is not just blind, it chooses to be blind. jackson gets the girl of his dreams against all odds, but when she betrays him, his obsession takes on a form so machiavellian, even he can not predict how far he'll go."
tt0407534,The Art of Action: Martial Arts in Motion Picture,6.7,"documentary action keithr.clarke keithr.clarke samuell.jackson davidcarradine jackiechan a look at the history of martial arts films from their chinese roots to the present, presented by samuel l. jackson."
tt7584958,Justice League Action Shorts,7.4,"animation action comedy   kevinconroy rachelkimsey danasnyder short-form web series based on ""justice league action (2016)"" released via the dc kid's youtube channel."
tt6022248,Traveling the Stars: Action Bronson and Friends Watch Ancient Aliens,7.8,"comedy   actionbronson thealchemist bigbodybes action bronson combines his two favorite things, the hit history series ""ancient aliens"" and smoking weed."
tt0164320,Action Family,7.7,"comedy crime drama garyweis chriselliott sandyfrank mattwickline chancebassett jimmybutts eydebyrde at work, chris is a hardboiled no-nonsense detective who's investigating a series of brutal murders of jazz musicians. at home, he's a family man straight out of sitcom who has to satisfy every whim of his wife and kids."
tt0853155,This Is What Love in Action Looks Like,6.6,"documentary morganjonfox  alicebuchanan lancecarroll chrisdavis in the summer of 2005 a 16yo memphis, tn wrote on his myspace blog about his parents sending him to a ""fundamentalist christian"" program that strives to turn gay teens straight. this documentary follows the inspirational story of this teens local community standing up for their friend with daily protests at the facility in what would become an international news story. the documentary features several former clients of the organization who tell their personal stories about the time they spent within the programs walls."
tt0130862,Youngsters and Adults in Action!,5.8,"comedy orestislaskos asimakisgialamas giorgoslazaridis kostaspretenteris maryaroni labroskonstadaras vasilisavlonitis who would have thought that two grown-up people who are very much in love with each other, would have to resort to all kinds of tricks to keep their long-term affair secret from their children? this is antonis and marianna's genuine and desperate predicament, as the idea of finally exposing their clandestine romance to their offspring, yorgos and elina, is simply out of the question. but, what will happen when they, too, fall in love? obviously, one of the couples must step back; however, which one?"
tt2691580,The Oscar Nominated Short Films 2013: Live Action,7.3,drama bryanbuckley shawnchristensen yanengland   collective screening of the academy award nominated short films from the live action category for 2013.
tt1989272,Standard Action,8.5,"comedy fantasy   edwinperez joannagaskell tarapratt four misfit adventurers set out on a quest to rescue their lost party members, and try their hand at saving the world in the process."
tt1116185,Phoo Action,4.7,action comedy drama euroslyn jamiehewlett matwakeham petermartin eddieshin jaimewinstone talulahriley the year is 2012 and only buddhist kung-fu cop terry phoo and teenage ne'er-do-well whitey action can save london and the nation as a whole from mutant criminals who are taking over.
tt7935892,The Oscar Nominated Short Films 2018: Live Action,7.9,"action drama maxporter  kobebryant tarrariggs an exclusive feature-length presentation showcasing this year's oscar award nominees for best live action short film. art and humanity collide with compelling stories from the world's best oscar short live action films: dekalb elementary (usa), the eleven o'clock (australia), my nephew emmett (usa), the silent child (uk), watu wote/all of us (germany, kenya)."
tt9081188,Fireman Sam: Set for Action!,4.8,"animation action adventure garyandrews clintbutler laurabeaumont paullarson davegingell johnbarrowman stevenkynman davidcarling the alarm has sounded and the pontypandy crew is off to rescue their friends and others in need. from engine sparks and wild fireworks to water rescue and more, you won't want to miss these adventures with your favorite hero, fireman sam!"
tt0077376,Covert Action,5.3,thriller romologuerrieri johncrowther nicoducci romologuerrieri davidjanssen corinnecléry mauriziomerli cia agent's life is endangered after he writes a book about his career with the agency.
tt0217294,Buffalo Fire Department in Action,4.5,"documentary short jamesh.white   ten horse-drawn pieces of equipment of the buffalo fire department pass by a stationary camera that looks down a broad avenue as they come toward it. they vary greatly in size, from a small two-wheeled runabout on which two men stand to three large wagons with six or eight fire fighters each drawn by two or three horses. two of the wagons have steaming engines for pumping water, and the final wagon looks as if it carries a large mounted nozzle. where's the fire?"
tt1639323,Action World,8.8,short action comedy vincedegaetano aaronfronk cooperjohnson vincedegaetano aaronfronk cooperjohnson jacobandrews vincedegaetano gregdillon two highly trained soldiers known as 'bravo squad' take on the crime lord calypso.
tt0320242,Partners in Action,4.3,"action crime drama sidneyj.furie eddymatalon timothyprager richardriondadelcastro armandassante douglassmith larryday jack cunningham is an ex-cop who attempts to uncover a drug ring involving some corrupt former co-workers. when jack is framed for murder, a young teenager decides to help jack prove his innocence. now the two must run from the law and the dirty cops."
tt0092356,French in Action,8.6,documentary   pierrej.capretz valérieallain charlesmayer this educational series teaches the french language and profiles cultural attributes. no attempt is made to use english in presenting skills and concepts.
